Player,Country
Gulbadin Naib,Afghanistan
Rashid Khan,Afghanistan
Aftab Alam,Afghanistan
Asghar Afghan,Afghanistan
Dawlat Zadran,Afghanistan
Hamid Hassan,Afghanistan
Hashmatullah Shahidi,Afghanistan
Hazratullah Zazai,Afghanistan
Mohammad Nabi,Afghanistan
Mohammad Shahzad,Afghanistan
Mujeeb Ur Rahman,Afghanistan
Najibullah Zadran,Afghanistan
Noor Ali Zadran,Afghanistan
Rahmat Shah,Afghanistan
Samiullah Shinwari,Afghanistan
AJ Finch,Australia
PJ Cummins,Australia
AT Carey,Australia
JP Behrendorff,Australia
NM Coulter-Nile,Australia
UT Khawaja,Australia
NM Lyon,Australia
SE Marsh,Australia
GJ Maxwell,Australia
KW Richardson,Australia
SPD Smith,Australia
MA Starc,Australia
MP Stoinis,Australia
DA Warner,Australia
A Zampa,Australia
Mashrafe Mortaza,Bangladesh
Shakib Al Hasan,Bangladesh
Tamim Iqbal,Bangladesh
Liton Das,Bangladesh
Mushfiqur Rahim,Bangladesh
Mahmudullah,Bangladesh
Mohammad Mithun,Bangladesh
Sabbir Rahman,Bangladesh
Mehidy Hasan Miraz,Bangladesh
Soumya Sarkar,Bangladesh
Rubel Hossain,Bangladesh
Mohammad Saifuddin,Bangladesh
Mosaddek Hossain,Bangladesh
Mustafizur Rahman,Bangladesh
Abu Jayed,Bangladesh
EJG Morgan,England
JC Buttler,England
MM Ali,England
JM Bairstow,England
TK Curran,England
JM Vince,England
Liam Dawson,England
LE Plunkett,England
AU Rashid,England
JE Root,England
JJ Roy,England
BA Stokes,England
JC Archer,England
CR Woakes,England
MA Wood,England
V Kohli,India
RG Sharma,India
S Dhawan,India
KL Rahul,India
V Shankar,India
MS Dhoni,India
KM Jadhav,India
KD Karthik,India
YS Chahal,India
Kuldeep Yadav,India
B Kumar,India
JJ Bumrah,India
HH Pandya,India
RA Jadeja,India
Mohammed Shami,India
KS Williamson,NewZealand
TWM Latham,NewZealand
TG Southee,NewZealand
TA Blundell,NewZealand
TA Boult,NewZealand
C de Grandhomme,NewZealand
LH Ferguson,NewZealand
MJ Guptill,NewZealand
MJ Henry,NewZealand
C Munro,NewZealand
JDS Neesham,NewZealand
HM Nicholls,NewZealand
MJ Santner,NewZealand
IS Sodhi,NewZealand
LRPL Taylor,NewZealand
Sarfaraz Ahmed,Pakistan
Babar Azam,Pakistan
Shoaib Malik,Pakistan
Fakhar Zaman,Pakistan
Imam-ul-Haq,Pakistan
Asif Ali,Pakistan
Mohammad Hafeez,Pakistan
Shadab Khan,Pakistan
Imad Wasim,Pakistan
Hasan Ali,Pakistan
Wahab Riaz,Pakistan
Shahid Afridi,Pakistan
Mohammad Amir,Pakistan
Mohammad Hasnain,Pakistan
Haris Sohail,Pakistan
F du Plessis,SouthAfrica
Q de Kock,SouthAfrica
HM Amla,SouthAfrica
AK Markram,SouthAfrica
HE van der Dussen,SouthAfrica
DA Miller,SouthAfrica
JP Duminy,SouthAfrica
AL Phehlukwayo,SouthAfrica
D Pretorius,SouthAfrica
DW Steyn,SouthAfrica
K Rabada,SouthAfrica
L Ngidi,SouthAfrica
CH Morris,SouthAfrica
Imran Tahir,SouthAfrica
T Shamsi,SouthAfrica
FDM Karunaratne,SriLanka
DM de Silva,SriLanka
AD Mathews,SriLanka
WIA Fernando,SriLanka
HDRL Thirimanne,SriLanka
BKG Mendis,SriLanka
MDKJ Perera,SriLanka
NLTC Perera,SriLanka
I Udana,SriLanka
JDF Vandersay,SriLanka
BMAJ Mendis,SriLanka
TAM Siriwardana,SriLanka
SL Malinga,SriLanka
RAS Lakmal,SriLanka
N Pradeep,SriLanka
JO Holder,WestIndies
CH Gayle,WestIndies
CR Brathwaite,WestIndies
DM Bravo,WestIndies
SS Cottrell,WestIndies
FA Allen,WestIndies
ST Gabriel,WestIndies
SO Hetmyer,WestIndies
SD Hope,WestIndies
E Lewis,WestIndies
AR Nurse,WestIndies
N Pooran,WestIndies
KAJ Roach,WestIndies
AD Russell,WestIndies
O Thomas,WestIndies
